CNTY_NAME,PREC,JoinField,PresDem,PresRep,PresTot,SenDem,SenRep,SenTot,HouseDem,HouseRep,HouseTot
Clark,1005,Clark-1005,601,603,1215,587,530,1187,602,558,1160
Clark,1006,Clark-1006,816,706,1542,800,628,1512,814,674,1488
Clark,1007,Clark-1007,1246,925,2216,1225,804,2165,1273,850,2123
Clark,1008,Clark-1008,1459,1240,2741,1433,1086,2692,1498,1140,2638
Clark,1009,Clark-1009,544,651,1216,537,586,1195,544,637,1181
Clark,1010,Clark-1010,198,128,328,188,115,325,190,118,317
Clark,1011,Clark-1011,90,73,165,89,67,164,91,71,162
Clark,1012,Clark-1012,640,1025,1688,654,982,1671,638,986,1643
Clark,1014,Clark-1014,0,0,0,0,0,0,0,0,0
Clark,1015,Clark-1015,996,946,1979,996,847,1957,1026,894,1920
Clark,1016,Clark-1016,191,250,446,190,229,439,191,241,432
Clark,1038,Clark-1038,958,922,1906,955,820,1867,976,859,1835
Clark,1039,Clark-1039,1226,1468,2740,1199,1371,2682,1215,1433,2648
Clark,1063,Clark-1063,568,589,1174,558,532,1158,581,556,1137
Clark,1067,Clark-1067,49,98,151,48,89,147,54,92,146
Clark,1072,Clark-1072,73,209,290,76,181,286,78,200,278
Clark,1074,Clark-1074,652,1003,1680,624,922,1644,675,950,1625
Clark,1302,Clark-1302,1630,1483,3161,1630,1303,3111,1661,1383,3044
Clark,1304,Clark-1304,1235,1162,2439,1218,1047,2392,1258,1097,2355
Clark,1307,Clark-1307,811,844,1683,805,759,1645,816,807,1623
Clark,1318,Clark-1318,745,618,1378,751,509,1340,769,554,1323
Clark,1327,Clark-1327,865,737,1640,858,649,1603,899,681,1580
Clark,1328,Clark-1328,666,664,1347,657,588,1310,665,629,1294
Clark,1330,Clark-1330,593,928,1548,604,852,1523,608,900,1508
Clark,1331,Clark-1331,715,595,1336,705,530,1317,724,574,1298
Clark,1333,Clark-1333,574,607,1196,573,545,1181,589,572,1161
Clark,1334,Clark-1334,727,738,1485,747,658,1471,759,694,1453
Clark,1335,Clark-1335,599,673,1289,599,610,1272,606,644,1250
Clark,1336,Clark-1336,556,378,949,541,332,932,556,358,914
Clark,1341,Clark-1341,1160,1136,2329,1123,1024,2282,1170,1070,2240
Clark,1343,Clark-1343,330,500,841,326,463,835,344,470,814
Clark,1344,Clark-1344,642,522,1177,611,460,1153,642,493,1135
Clark,1346,Clark-1346,890,1231,2162,911,1137,2135,918,1191,2109
Clark,1348,Clark-1348,745,761,1535,730,666,1516,760,730,1490
Clark,1349,Clark-1349,727,673,1428,714,588,1399,733,649,1382
Clark,1351,Clark-1351,1199,953,2195,1160,854,2156,1207,909,2116
Clark,1352,Clark-1352,590,522,1129,587,458,1108,597,491,1088
Clark,1353,Clark-1353,1116,832,1971,1107,733,1946,1139,777,1916
Clark,1354,Clark-1354,1412,1124,2591,1383,996,2533,1455,1040,2495
Clark,1356,Clark-1356,823,801,1647,824,696,1606,838,743,1581
Clark,1361,Clark-1361,0,1,1,0,1,1,0,1,1
Clark,1363,Clark-1363,2,0,2,2,0,2,2,0,2
Clark,1368,Clark-1368,801,654,1473,789,587,1450,812,615,1427
Clark,1384,Clark-1384,132,84,221,127,69,219,121,71,203
Clark,1389,Clark-1389,484,549,1046,492,479,1026,480,489,996
Clark,1390,Clark-1390,1666,1552,3274,1611,1412,3211,1614,1421,3133
Clark,1394,Clark-1394,1116,1544,2698,1123,1450,2661,1111,1465,2613
Clark,1396,Clark-1396,1423,1188,2657,1409,1045,2611,1408,1074,2563
Clark,1411,Clark-1411,1159,1309,2506,1151,1207,2477,1143,1234,2436
Clark,1510,Clark-1510,241,489,755,243,490,748,228,497,735
Clark,1514,Clark-1514,743,1087,1870,743,1022,1834,717,1032,1792
Clark,1517,Clark-1517,1015,1536,2584,1005,1449,2543,996,1473,2511
Clark,1518,Clark-1518,1038,1298,2372,1057,1225,2350,1046,1235,2318
Clark,1525,Clark-1525,977,961,1957,953,890,1929,922,906,1876
Clark,1550,Clark-1550,352,508,874,351,479,866,345,498,856
Clark,1553,Clark-1553,0,0,0,0,0,0,0,0,0
Clark,1602,Clark-1602,966,790,1781,950,707,1745,974,742,1716
Clark,1605,Clark-1605,1242,907,2180,1207,784,2129,1264,830,2094
Clark,1606,Clark-1606,923,1230,2217,931,1181,2184,919,1191,2149
Clark,1609,Clark-1609,848,833,1716,847,734,1671,871,773,1644
Clark,1613,Clark-1613,879,794,1703,882,674,1666,909,730,1639
Clark,1614,Clark-1614,615,624,1256,607,550,1232,642,566,1208
Clark,1619,Clark-1619,844,865,1735,828,749,1682,875,783,1658
Clark,1621,Clark-1621,462,386,856,457,326,843,478,347,825
Clark,1625,Clark-1625,1089,868,1994,1071,729,1945,1103,813,1916
Clark,1631,Clark-1631,864,716,1610,858,626,1571,883,678,1561
Clark,1632,Clark-1632,860,707,1591,852,606,1556,885,643,1528
Clark,1633,Clark-1633,632,378,1023,611,316,990,641,336,977
Clark,1643,Clark-1643,224,345,574,232,317,564,230,327,557
Clark,1645,Clark-1645,1155,789,1979,1148,653,1929,1186,696,1882
Clark,1651,Clark-1651,1087,1228,2351,1069,1073,2283,1111,1138,2249
Clark,1653,Clark-1653,673,484,1187,664,408,1152,689,444,1133
Clark,1660,Clark-1660,831,771,1633,827,682,1606,820,702,1579
Clark,1664,Clark-1664,384,501,903,396,446,885,392,484,876
Clark,1665,Clark-1665,0,0,0,0,0,0,0,0,0
Clark,1668,Clark-1668,1827,2091,3972,1821,1874,3887,1831,1986,3817
Clark,1669,Clark-1669,1314,1185,2541,1286,1059,2496,1339,1109,2448
Clark,1671,Clark-1671,5,15,22,4,16,20,3,16,19
Clark,1672,Clark-1672,1329,1419,2798,1325,1285,2752,1307,1306,2679
Clark,1674,Clark-1674,656,893,1590,659,844,1568,651,846,1520
Clark,1677,Clark-1677,975,1071,2078,978,954,2049,994,1018,2012
Clark,1679,Clark-1679,350,474,838,341,443,827,347,473,820
Clark,1680,Clark-1680,765,752,1541,763,705,1532,784,723,1507
Clark,1682,Clark-1682,1261,1051,2357,1249,927,2328,1309,983,2292
Clark,1685,Clark-1685,354,557,936,361,514,923,375,535,910
Clark,1688,Clark-1688,500,479,1004,521,424,990,520,455,975
Clark,1689,Clark-1689,866,787,1675,860,719,1654,881,741,1622
Clark,1695,Clark-1695,243,519,769,246,484,758,247,499,746
Clark,1696,Clark-1696,1098,1102,2233,1106,1001,2206,1084,1016,2162
Clark,1700,Clark-1700,1373,1219,2646,1372,1065,2604,1357,1102,2545
Clark,1702,Clark-1702,691,920,1636,692,833,1605,722,861,1583
Clark,1706,Clark-1706,63,58,123,70,45,123,66,55,121
Clark,1712,Clark-1712,1150,1229,2405,1146,1155,2380,1138,1154,2339
Clark,1715,Clark-1715,1000,1368,2416,1005,1321,2391,993,1341,2367
Clark,1717,Clark-1717,1157,1348,2545,1163,1301,2523,1149,1316,2496
Clark,1719,Clark-1719,338,371,722,346,355,713,342,360,709
Clark,1732,Clark-1732,0,2,2,0,2,2,0,2,2
Clark,1750,Clark-1750,475,748,1242,455,692,1225,481,732,1213
Clark,1751,Clark-1751,340,858,1218,337,798,1194,362,821,1183
Clark,1753,Clark-1753,62,164,228,62,151,223,64,156,220
Clark,1903,Clark-1903,0,0,0,0,0,0,0,0,0
Clark,1906,Clark-1906,0,0,0,0,0,0,0,0,0
Clark,1912,Clark-1912,0,0,0,0,0,0,0,0,0
Clark,1913,Clark-1913,0,0,0,0,0,0,0,0,0
Clark,1922,Clark-1922,0,0,0,0,0,0,0,0,0
Clark,1935,Clark-1935,0,0,0,0,0,0,0,0,0
Clark,1940,Clark-1940,0,0,0,0,0,0,0,0,0
Clark,1943,Clark-1943,0,0,0,0,0,0,0,0,0
Clark,1959,Clark-1959,0,0,0,0,0,0,0,0,0
Clark,2000,Clark-2000,0,0,0,0,0,0,0,0,0
Clark,2002,Clark-2002,7,14,21,7,13,21,7,14,21
Clark,2003,Clark-2003,394,288,698,378,264,681,389,255,673
Clark,2004,Clark-2004,543,461,1029,527,402,1012,563,396,990
Clark,2005,Clark-2005,853,754,1652,855,647,1622,869,666,1597
Clark,2007,Clark-2007,160,275,444,163,253,439,158,254,430
Clark,2008,Clark-2008,1093,1207,2334,1098,1052,2307,1148,1040,2262
Clark,2009,Clark-2009,598,410,1022,566,348,1006,602,357,989
Clark,2010,Clark-2010,19,31,51,22,27,51,21,30,51
Clark,2011,Clark-2011,560,478,1061,563,415,1041,594,396,1024
Clark,2012,Clark-2012,1,2,3,1,2,3,1,2,3
Clark,2013,Clark-2013,468,235,716,441,190,702,458,194,678
Clark,2014,Clark-2014,1283,751,2076,1213,645,2034,1297,641,2002
Clark,2015,Clark-2015,921,682,1646,899,559,1613,927,571,1579
Clark,2016,Clark-2016,59,81,143,57,76,143,57,78,142
Clark,2017,Clark-2017,0,0,0,0,0,0,0,0,0
Clark,2019,Clark-2019,67,118,185,71,101,184,71,104,181
Clark,2020,Clark-2020,0,0,0,0,0,0,0,0,0
Clark,2021,Clark-2021,1256,707,2000,1230,599,1980,1280,592,1933
Clark,2023,Clark-2023,516,355,885,496,304,866,507,302,849
Clark,2025,Clark-2025,908,452,1391,877,377,1367,913,371,1337
Clark,2028,Clark-2028,1067,742,1850,1043,621,1815,1087,642,1789
Clark,2029,Clark-2029,64,28,94,59,23,94,67,23,91
Clark,2030,Clark-2030,602,363,983,587,312,967,600,313,944
Clark,2032,Clark-2032,466,304,779,475,243,768,478,248,750
Clark,2033,Clark-2033,874,786,1689,869,682,1665,882,680,1629
Clark,2036,Clark-2036,1237,729,2008,1199,626,1966,1274,597,1928
Clark,2037,Clark-2037,1181,1489,2721,1167,1356,2684,1220,1343,2620
Clark,2040,Clark-2040,22,20,45,22,19,44,26,17,44
Clark,2042,Clark-2042,11,3,14,10,3,14,9,3,14
Clark,2045,Clark-2045,179,183,367,179,169,363,185,166,360
Clark,2046,Clark-2046,1138,685,1850,1105,572,1824,1160,584,1788
Clark,2047,Clark-2047,417,274,698,412,217,677,408,216,660
Clark,2048,Clark-2048,1517,1299,2866,1491,1220,2832,1510,1228,2792
Clark,2049,Clark-2049,859,789,1684,841,708,1662,865,718,1632
Clark,2051,Clark-2051,1212,1223,2483,1194,1137,2443,1193,1141,2385
Clark,2052,Clark-2052,20,50,72,22,46,71,19,46,70
Clark,2053,Clark-2053,314,725,1055,318,681,1050,328,678,1026
Clark,2054,Clark-2054,744,1021,1803,751,932,1782,759,944,1755
Clark,2055,Clark-2055,908,1557,2516,904,1456,2490,943,1441,2445
Clark,2056,Clark-2056,49,99,148,44,94,147,47,95,144
Clark,2057,Clark-2057,0,0,0,0,0,0,0,0,0
Clark,2059,Clark-2059,0,0,0,0,0,0,0,0,0
Clark,2060,Clark-2060,280,299,589,274,261,582,282,264,570
Clark,2061,Clark-2061,0,0,0,0,0,0,0,0,0
Clark,2063,Clark-2063,417,246,679,399,202,671,426,201,652
Clark,2064,Clark-2064,0,0,0,0,0,0,0,0,0
Clark,2065,Clark-2065,586,781,1402,575,725,1381,613,698,1360
Clark,2066,Clark-2066,45,137,183,53,112,181,50,119,175
Clark,2067,Clark-2067,598,628,1240,622,548,1229,627,540,1202
Clark,2068,Clark-2068,0,0,0,0,0,0,0,0,0
Clark,2069,Clark-2069,0,0,0,0,0,0,0,0,0
Clark,2070,Clark-2070,0,0,0,0,0,0,0,0,0
Clark,2072,Clark-2072,115,177,292,113,166,288,113,171,285
Clark,2073,Clark-2073,820,730,1582,810,636,1556,802,654,1521
Clark,2074,Clark-2074,1379,1027,2445,1367,901,2411,1413,903,2367
Clark,2075,Clark-2075,0,0,0,0,0,0,0,0,0
Clark,2077,Clark-2077,478,301,795,486,240,779,497,261,772
Clark,2078,Clark-2078,0,0,0,0,0,0,0,0,0
Clark,2079,Clark-2079,72,226,302,81,203,298,81,206,291
Clark,2080,Clark-2080,132,326,468,125,317,464,121,325,457
Clark,2081,Clark-2081,30,31,62,30,29,62,31,30,62
Clark,2082,Clark-2082,699,963,1693,702,887,1675,711,877,1629
Clark,2086,Clark-2086,825,463,1314,785,398,1287,827,381,1266
Clark,2087,Clark-2087,1427,779,2250,1385,686,2218,1455,679,2191
Clark,2088,Clark-2088,850,456,1327,844,385,1311,848,386,1285
Clark,2126,Clark-2126,813,726,1564,811,597,1530,813,599,1507
Clark,2352,Clark-2352,1154,1466,2652,1170,1340,2634,1193,1347,2589
Clark,2356,Clark-2356,0,0,0,0,0,0,0,0,0
Clark,2360,Clark-2360,1053,537,1616,1038,451,1585,1096,427,1558
Clark,2371,Clark-2371,514,483,1018,524,407,1011,550,415,993
Clark,2372,Clark-2372,1003,802,1840,978,705,1814,1011,729,1788
