TOWN,COUNTY,PresDem,PresRep,PresTot
Saco,York,7944,4585,12957
T15 R11 WELS,Aroostook,0,0,0
Northport,Waldo,689,411,1139
Arundel,York,1378,1452,2917
Taunton & Raynham Academy Grant,Somerset,0,0,0
Oakland,Kennebec,1669,1972,3761
North Yarmouth Academy Grant,Aroostook,0,0,0
T11 R8 WELS,Aroostook,0,0,0
Frenchboro,Hancock,11,19,31
T4 R8 WELS,Penobscot,0,0,0
Sapling,Somerset,0,0,0
Dover-Foxcroft,Piscataquis,912,1459,2449
Greenville/Twps,Piscataquis,484,692,1205
Pleasant Ridge Plantation,Somerset,15,34,51
Andover West Surplus,Oxford,0,0,0
T12 R15 WELS,Aroostook,0,0,0
T1 R11 WELS,Piscataquis,0,0,0
Benton,Kennebec,516,1022,1586
T7 R16 WELS,Somerset,0,0,0
Crystal,Aroostook,35,118,160
T2 R9 WELS,Piscataquis,0,0,0
T10 R12 WELS,Piscataquis,0,0,0
T14 R16 WELS,Aroostook,0,0,0
T16 R6 WELS,Aroostook,0,0,0
T5 R17 WELS,Somerset,0,0,0
Island Falls,Aroostook,130,306,446
Boothbay Harbor,Lincoln,854,527,1422
Newburgh,Penobscot,390,640,1070
Rumford,Oxford,1152,1551,2788
Grafton,Oxford,0,0,0
Winslow,Kennebec,2157,2437,4750
T16 MD BPP,Hancock,0,0,0
Saint Francis,Aroostook,90,137,233
Lincoln Plantation,Oxford,26,30,58
Portland,Cumberland,31668,6130,39834
T7 R9 NWP,Piscataquis,0,0,0
Hampden,Penobscot,2522,2457,5141
Vienna,Kennebec,193,222,440
Atkinson Township,Piscataquis,48,121,172
Webster Plantation,Penobscot,8,34,43
Burnham,Waldo,205,449,677
T4 R9 WELS,Piscataquis,0,0,0
T8 R4 NBPP,Washington,0,0,0
Shawtown,Piscataquis,0,0,0
Brighton Plantation,Somerset,17,25,43
Salem,Franklin,0,0,0
Days Academy Grant,Piscataquis,0,0,0
Trenton,Hancock,510,468,1030
T4 R15 WELS,Piscataquis,0,0,0
Garland,Penobscot,175,451,647
T3 R5 BKP WKR,Somerset,0,0,0
Casco,Cumberland,1058,1209,2329
Madawaska,Aroostook,1018,1076,2151
